customer_id,customer_name,email,region,signup_date,segment
1,Allison Hill,donaldgarcia@example.net,North,2025-11-25,Enterprise
2,Javier Johnson,jesseguzman@example.net,South,2024-06-04,Retail
3,Meredith Barnes,zlawrence@example.org,Central,2024-04-05,Retail
4,Gina Moore,curtis61@example.com,North,2025-01-16,Retail
5,Renee Blair,dudleynicholas@example.net,South,2024-10-29,Enterprise
6,Lisa Hensley,janetwilliams@example.org,Central,2024-10-23,Retail
7,Dr. Sharon James,xreid@example.org,Central,2025-02-26,Wholesale
8,Michael Miles,lynchgeorge@example.net,Central,2024-08-15,Wholesale
9,James Mayo,gabriellecameron@example.org,North,2024-07-21,Retail
10,Renee Morales,clarksherri@example.net,East,2024-12-01,Wholesale
11,Jonathan Wilkerson,ithomas@example.org,East,2025-12-20,Retail
12,Nicole Patterson,icox@example.net,North,2025-09-05,Wholesale
13,Anthony Rodriguez,laurahenderson@example.org,Central,2025-03-20,Wholesale
14,Zachary Rice,frazierdanny@example.net,West,2024-09-18,Enterprise
15,Gina Carter,shawnmckay@example.net,West,2024-09-13,Retail
16,Pamela Romero,harrellkenneth@example.net,Central,2025-09-27,Wholesale
17,Brittany Farmer,georgetracy@example.org,North,2025-02-14,Retail
18,Sandra Parker,allenashley@example.org,East,2023-12-12,Retail
19,Rose Spence,davidalvarez@example.net,North,2024-04-13,Wholesale
20,Shane Henderson,sarahcampos@example.net,East,2024-06-08,Retail
21,Jennifer Powers,samuel87@example.org,South,2024-08-20,Enterprise
22,George Chapman,briannasmith@example.net,North,2026-04-07,Enterprise
23,Austin Johnson,chad34@example.net,Central,2025-08-24,Enterprise
24,Carlos Walls,esanchez@example.com,West,2024-05-22,Wholesale
25,Matthew Gomez,uowens@example.org,Central,2026-06-12,Retail
26,Maria Brown,lauren13@example.org,North,2024-05-22,Retail
27,Brenda White,ewright@example.com,East,2025-12-02,Wholesale
28,Matthew Fernandez,novaksara@example.org,South,2024-04-15,Enterprise
29,John Hancock,martinaaron@example.com,East,2024-09-15,Retail
30,Rachel Mitchell,smoore@example.org,West,2023-10-30,Enterprise
31,Kimberly Adkins,williamsthomas@example.net,East,2024-04-01,Retail
32,Jordan York,larsonemma@example.org,Central,2025-04-19,Enterprise
33,Steve Sanchez,harveyrobert@example.net,Central,2025-12-26,Wholesale
34,Taylor Harris,john62@example.net,West,2026-04-29,Wholesale
35,Eugene Walton,smithchristine@example.net,South,2024-01-03,Enterprise
36,Daniel Baker,nicole35@example.com,North,2024-04-02,Retail
37,Joshua Turner,contrerasangela@example.net,South,2024-01-08,Enterprise
38,Brandy Wilson,newtoneric@example.com,North,2026-02-25,Wholesale
39,Grant Watts,william40@example.org,West,2026-04-12,Enterprise
40,Donald Smith,danagreen@example.net,Central,2025-06-17,Retail
41,Jessica Smith,landryhannah@example.org,North,2025-11-25,Enterprise
42,Jacob Tran,tanderson@example.com,East,2023-10-01,Enterprise
43,Christine Wright,gomezanita@example.com,East,2026-03-22,Wholesale
44,Tammy Young,theresacochran@example.com,North,2023-09-08,Enterprise
45,Tim Patton,vpham@example.org,East,2024-09-18,Enterprise
46,Michael Reyes,garrisonjeffrey@example.com,Central,2025-01-25,Retail
